Identifiant| Tissular Location | Subcellular Location | Interactans | Family name | Chain Nature 
MPH6_HUMAN | ['Lymphoblast', 'Skeletal muscle', 'Brain, Lung, Urinary bladder', 'Cervix carcinoma', 'Cervix carcinoma', 'Cervix carcinoma', 'Leukemic T-cell', 'Cervix carcinoma'] | ['Nucleus', 'Nucleolus', 'Cytoplasm'] | ['EBI-358236', 'EBI-301735', 'EBI-347612'] | M-phase phosphoprotein  | chain
MPIP1_HUMAN | ['Lymph'] | [] | ['EBI-365996', 'EBI-359815', 'EBI-347088'] | M-phase inducer phosphatase  | chain
MPIP2_HUMAN | ['Brain', 'Testis', 'Cervix carcinoma', 'Leukemic T-cell'] | ['Cytoplasm', 'Cytoskeleton', 'Microtubule organizing center', 'Centrosome', 'Spindle pole'] | ['EBI-359815', 'EBI-306940', 'EBI-347088'] | M-phase inducer phosphatase  | chain
MPIP3_HUMAN | ['Skin', 'Colon carcinoma', 'Testis', 'Cervix carcinoma', 'Cervix carcinoma', 'Cervix carcinoma'] | ['Nucleus'] | ['EBI-444308', 'EBI-974488', 'EBI-1216080'] | M-phase inducer phosphatase  | initiator methionine
MPI_HUMAN | ['Placenta, Testis', 'Testis', 'Blood, Brain'] | ['Cytoplasm'] | ['EBI-444308', 'EBI-974488', 'EBI-1216080'] |  | initiator methionine
MPLKI_HUMAN | ['Testis', 'Cervix carcinoma', 'Cervix carcinoma', 'Cervix carcinoma', 'Cervix carcinoma'] | ['Nucleus', 'Cytoplasm', 'Cytoskeleton', 'Microtubule organizing center', 'Centrosome'] | ['EBI-444308', 'EBI-974488', 'EBI-1216080'] | M-phase-specific PLK1-interacting protein  | chain
MPND_HUMAN | ['Eye', 'Cervix carcinoma'] | [] | ['EBI-444308', 'EBI-974488', 'EBI-1216080'] | MPN domain-containing protein  | initiator methionine
MPP10_HUMAN | ['Blood', 'Mammary cancer, Placenta', 'Brain', 'Cervix carcinoma', 'Cervix carcinoma', 'Cervix carcinoma', 'Leukemic T-cell', 'Cervix carcinoma'] | ['Nucleus', 'Nucleolus', 'Chromosome'] | ['EBI-357253'] | small nucleolar  | chain
MPP2_HUMAN | ['Brain', 'Amygdala', 'Amygdala, Hippocampus', 'Salivary gland', 'Brain', 'Brain', 'Leukemic T-cell'] | [] | ['EBI-357253'] | MAGUK p55 subfamily  | chain
MPP3_HUMAN | ['Retina', 'Brain', 'Brain, Pancreas'] | [] | ['EBI-357253'] | MAGUK p55 subfamily  | chain
MPP4_HUMAN | ['Retina', 'Brain', 'Teratocarcinoma'] | ['Cytoplasm'] | ['EBI-357253'] | MAGUK p55 subfamily  | chain
MPP5_HUMAN | ['Skeletal muscle, Spinal cord', 'Eye', 'Brain', 'Cervix carcinoma', 'Cervix carcinoma'] | ['Cell membrane', 'Endomembrane system', 'Cell junction', 'Tight junction'] | ['EBI-724390'] | MAGUK p55 subfamily  | chain
MPP6_HUMAN | ['Testis', 'Eye'] | ['Membrane'] | ['EBI-724390'] | MAGUK p55 subfamily  | chain
MPP7_HUMAN | ['Hippocampus, Mammary gland', 'Testis', 'Cervix carcinoma', 'Cervix carcinoma'] | ['Membrane', 'Cell junction', 'Tight junction', 'Adherens junction'] | ['EBI-724390'] | MAGUK p55 subfamily  | chain
MPP8_HUMAN | ['Placenta', 'Lymph node', 'Pancreas, PNS', 'Lymphoblast', 'Cervix carcinoma', 'Cervix carcinoma', 'Liver', 'Leukemic T-cell', 'Cervix carcinoma'] | ['Nucleus'] | ['EBI-766087', 'EBI-79722', 'EBI-79691'] | M-phase phosphoprotein  | chain
MPP9_HUMAN | ['Tongue', 'Lymphoblast', 'Leukemic T-cell', 'Cervix carcinoma'] | ['Cytoplasm', 'Cytoskeleton', 'Microtubule organizing center', 'Centrosome', 'Centriole', 'Golgi apparatus membrane'] | ['EBI-766087', 'EBI-79722', 'EBI-79691'] | M-phase phosphoprotein  | chain
MPPA_HUMAN | ['Bone marrow', 'Bone marrow', 'Colon', 'Kidney, Lymph, Ovary', 'Mammary cancer'] | ['Mitochondrion matrix'] | ['EBI-766087', 'EBI-79722', 'EBI-79691'] | Mitochondrial-processing peptidase subunit  | transit peptide
MPPB_HUMAN | ['Umbilical cord blood', 'Leukemic T-cell'] | ['Mitochondrion matrix'] | ['EBI-766087', 'EBI-79722', 'EBI-79691'] | Mitochondrial-processing peptidase subunit  | transit peptide
MPPD1_HUMAN | ['Brain', 'Brain', 'Brain'] | [] | ['EBI-766087', 'EBI-79722', 'EBI-79691'] | Metallophosphoesterase domain-containing protein  | chain
MPPD2_HUMAN | ['Brain', 'Colon, Kidney, Stomach'] | [] | ['EBI-766087', 'EBI-79722', 'EBI-79691'] |  | chain
MPPE1_HUMAN | ['Embryo, Teratocarcinoma', 'Dermoid cancer', 'Lung, PNS'] | ['Endoplasmic reticulum-Golgi intermediate compartment membrane', 'Golgi apparatus', 'cis-Golgi network membrane'] | ['EBI-766087', 'EBI-79722', 'EBI-79691'] |  | chain
MPRA_HUMAN | ['Testis', 'Duodenum, Uterus'] | ['Cell membrane'] | ['EBI-766087', 'EBI-79722', 'EBI-79691'] | Membrane progestin receptor  | chain
MPRB_HUMAN | ['Brain', 'Placenta', 'Brain', 'Brain'] | ['Cell membrane'] | ['EBI-766087', 'EBI-79722', 'EBI-79691'] | Membrane progestin receptor  | chain
MPRD_HUMAN | ['Leukocyte', 'Muscle', 'Cervix carcinoma', 'Liver'] | ['Lysosome membrane'] | ['EBI-766087', 'EBI-79722', 'EBI-79691'] | Cation-dependent mannose-6-phosphate receptor  | signal peptide
MPRG_HUMAN | ['Colon mucosa', 'Kidney'] | ['Membrane'] | ['EBI-766087', 'EBI-79722', 'EBI-79691'] | Membrane progestin receptor  | chain
MPRIP_HUMAN | ['Aorta', 'Melanoma', 'Brain, Lymph, Muscle', 'Cervix carcinoma', 'Cervix carcinoma', 'Cervix carcinoma', 'Leukemic T-cell', 'Cervix carcinoma'] | ['Cytoplasm', 'Cytoskeleton'] | ['EBI-918263'] | Myosin phosphatase Rho-interacting  | chain
MPRI_HUMAN | ['Cervix carcinoma', 'Prostate cancer', 'Cervix carcinoma', 'T-cell', 'Cervix carcinoma', 'Cervix carcinoma', 'Liver', 'Liver', 'Leukemic T-cell', 'Cervix carcinoma'] | ['Lysosome membrane'] | ['EBI-447141', 'EBI-7178764', 'EBI-2555014'] | Cation-independent mannose-6-phosphate receptor  | signal peptide
MPTX_HUMAN | [] | [] | ['EBI-447141', 'EBI-7178764', 'EBI-2555014'] | Putative mucosal pentraxin  | chain
MPU1_HUMAN | ['Umbilical cord blood', 'Pericardium', 'Lung'] | ['Membrane'] | ['EBI-1058922', 'EBI-399257', 'EBI-1055562', 'EBI-1053637', 'EBI-352378', 'EBI-356576'] | Mannose-P-dolichol utilization defect  | initiator methionine
MPV17_HUMAN | ['Liver', 'Skin'] | ['Mitochondrion inner membrane'] | ['EBI-1058922', 'EBI-399257', 'EBI-1055562', 'EBI-1053637', 'EBI-352378', 'EBI-356576'] |  | chain
MPZL1_HUMAN | ['Fetal liver', 'Ovary', 'Cervix carcinoma', 'Cervix carcinoma', 'Cervix carcinoma', 'Leukemic T-cell', 'Leukemic T-cell', 'Cervix carcinoma'] | ['Membrane'] | ['EBI-297779'] | Myelin protein zero-like  | signal peptide
MPZL2_HUMAN | ['Liver, Spleen', 'Endometrial tumor', 'Squamous cell carcinoma', 'Tongue', 'Lung', 'Liver'] | ['Membrane'] | ['EBI-4314854'] | Myelin protein zero-like  | signal peptide
MPZL3_HUMAN | ['Tongue, Trachea', 'Colon'] | ['Membrane'] | ['EBI-3906725'] | Myelin protein zero-like  | signal peptide
MR1L1_HUMAN | ['Adrenal gland', 'Ovary', 'Hippocampus, Placenta'] | [] | ['EBI-466029'] | MORF4 family-associated protein  | chain
MRAP2_HUMAN | ['Amygdala, Kidney', 'Brain, Colon'] | ['Cell membrane', 'Endoplasmic reticulum membrane'] | ['EBI-9538727'] | Melanocortin-2 receptor accessory  | chain
MRAP_HUMAN | ['Adipocyte', 'Brain', 'Thyroid'] | ['Cell membrane', 'Endoplasmic reticulum membrane'] | ['EBI-9537218'] | Melanocortin-2 receptor accessory  | chain
MRAS1_HUMAN | ['Testis', 'Testis'] | [] | ['EBI-9537218'] | Putative uncharacterized protein  | chain
MRC1_HUMAN | ['Placenta', 'Milk'] | ['Endosome membrane', 'Cell membrane'] | ['EBI-9537218'] | Macrophage mannose receptor  | signal peptide
MRC2_HUMAN | ['Brain', 'Liver', 'Cervix carcinoma'] | ['Membrane'] | ['EBI-9537218'] | C-type mannose receptor  | signal peptide
MRCKA_HUMAN | ['Colon', 'Brain', 'Testis', 'Mammary gland', 'Brain', 'Brain', 'Cervix carcinoma'] | ['Cytoplasm'] | ['EBI-81752'] | Serine/threonine-protein kinase MRCK  | chain
MRCKB_HUMAN | ['Brain', 'Brain', 'PNS', 'Cervix carcinoma', 'Cervix carcinoma', 'Cervix carcinoma', 'Cervix carcinoma'] | ['Cytoplasm', 'Cell membrane', 'Cell junction'] | ['EBI-81752'] | Serine/threonine-protein kinase MRCK  | chain
MRCKG_HUMAN | ['Colon'] | ['Cytoplasm'] | ['EBI-356402'] | Serine/threonine-protein kinase MRCK  | chain
MRE11_HUMAN | ['Brain', 'Cervix carcinoma', 'Cervix carcinoma', 'Cervix carcinoma', 'Leukemic T-cell', 'Cervix carcinoma'] | ['Nucleus'] | ['EBI-359343', 'EBI-494830', 'EBI-466029', 'EBI-494844'] | Double-strand break repair  | initiator methionine
MREG_HUMAN | ['Embryo', 'Duodenum, Skin', 'Dendritic cell'] | ['Apical cell membrane'] | ['EBI-359343', 'EBI-494830', 'EBI-466029', 'EBI-494844'] |  | chain
MRFL_HUMAN | ['Cerebellum', 'Brain'] | ['Membrane'] | ['EBI-359343', 'EBI-494830', 'EBI-466029', 'EBI-494844'] | Myelin regulatory factor-like  | chain
MRF_HUMAN | ['Brain'] | ['Endoplasmic reticulum membrane', 'Nucleus', 'Cytoplasm'] | ['EBI-359343', 'EBI-494830', 'EBI-466029', 'EBI-494844'] | Myelin regulatory factor  | chain
MRGBP_HUMAN | ['Ovary', 'Skin, Uterus', 'Cervix carcinoma', 'Cervix carcinoma', 'Leukemic T-cell', 'Cervix carcinoma'] | ['Nucleus'] | ['EBI-359343', 'EBI-494830', 'EBI-466029', 'EBI-494844'] |  | initiator methionine
MRGRD_HUMAN | ['Liver'] | ['Cell membrane'] | ['EBI-359343', 'EBI-494830', 'EBI-466029', 'EBI-494844'] | Mas-related G-protein coupled  | chain
MRGRE_HUMAN | [] | ['Cell membrane'] | ['EBI-359343', 'EBI-494830', 'EBI-466029', 'EBI-494844'] | Mas-related G-protein coupled  | chain
MRGRF_HUMAN | ['Uterus', 'Placenta', 'Brain'] | ['Cell membrane'] | ['EBI-359343', 'EBI-494830', 'EBI-466029', 'EBI-494844'] | Mas-related G-protein coupled  | chain
MRGRG_HUMAN | [] | ['Cell membrane'] | ['EBI-359343', 'EBI-494830', 'EBI-466029', 'EBI-494844'] | Mas-related G-protein coupled  | chain
MRGX1_HUMAN | [] | ['Cell membrane'] | ['EBI-359343', 'EBI-494830', 'EBI-466029', 'EBI-494844'] | Mas-related G-protein coupled  | chain
MRGX2_HUMAN | ['Brain'] | ['Cell membrane'] | ['EBI-359343', 'EBI-494830', 'EBI-466029', 'EBI-494844'] | Mas-related G-protein coupled  | chain
MRGX3_HUMAN | ['Brain', 'Testis'] | ['Cell membrane'] | ['EBI-359343', 'EBI-494830', 'EBI-466029', 'EBI-494844'] | Mas-related G-protein coupled  | chain
MRGX4_HUMAN | [] | ['Cell membrane'] | ['EBI-359343', 'EBI-494830', 'EBI-466029', 'EBI-494844'] | Mas-related G-protein coupled  | chain
MRI_HUMAN | ['Thymus', 'Mammary gland, Placenta'] | ['Cytoplasm'] | ['EBI-359343', 'EBI-494830', 'EBI-466029', 'EBI-494844'] | Modulator of retrovirus  | chain
MRM1_HUMAN | ['Small intestine, Testis', 'Kidney, Skin'] | ['Mitochondrion'] | ['EBI-359343', 'EBI-494830', 'EBI-466029', 'EBI-494844'] | rRNA methyltransferase 1,  | transit peptide
MRO2A_HUMAN | [] | [] | ['EBI-359343', 'EBI-494830', 'EBI-466029', 'EBI-494844'] | Maestro heat-like repeat-containing  | chain
MRO2B_HUMAN | ['Testis', 'Testis', 'Testis'] | [] | ['EBI-359343', 'EBI-494830', 'EBI-466029', 'EBI-494844'] | Maestro heat-like repeat-containing  | chain
MROH1_HUMAN | ['Brain', 'Spleen, Thymus', 'Testis', 'Blood, Placenta'] | [] | ['EBI-359343', 'EBI-494830', 'EBI-466029', 'EBI-494844'] | Maestro heat-like repeat-containing  | chain
MROH5_HUMAN | ['Testis'] | [] | ['EBI-359343', 'EBI-494830', 'EBI-466029', 'EBI-494844'] | Maestro heat-like repeat  | chain
MROH6_HUMAN | [] | [] | ['EBI-359343', 'EBI-494830', 'EBI-466029', 'EBI-494844'] | Maestro heat-like repeat-containing  | chain
MROH7_HUMAN | ['Kidney, Testis', 'Testis', 'Brain'] | ['Membrane'] | ['EBI-359343', 'EBI-494830', 'EBI-466029', 'EBI-494844'] | Maestro heat-like repeat-containing  | chain
MROH8_HUMAN | ['Testis', 'Testis'] | [] | ['EBI-359343', 'EBI-494830', 'EBI-466029', 'EBI-494844'] |  | chain
MROH9_HUMAN | ['Lung'] | [] | ['EBI-359343', 'EBI-494830', 'EBI-466029', 'EBI-494844'] | Maestro heat-like repeat-containing  | chain
MRP1_HUMAN | ['Brain', 'Cervix carcinoma', 'Cervix carcinoma', 'Leukemic T-cell', 'Cervix carcinoma'] | ['Cell membrane'] | ['EBI-359343', 'EBI-494830', 'EBI-466029', 'EBI-494844'] | Multidrug resistance-associated protein  | chain
MRP2_HUMAN | ['Cervix carcinoma', 'Cervix carcinoma', 'Cervix carcinoma'] | ['Apical cell membrane'] | ['EBI-300010'] | Canalicular multispecific organic  | chain
MRP3_HUMAN | ['Liver', 'Liver', 'Liver', 'Liver', 'Colon carcinoma', 'Blood', 'Liver', 'Cervix carcinoma'] | ['Membrane'] | ['EBI-300010'] | Canalicular multispecific organic  | chain
MRP4_HUMAN | ['Kidney', 'Brain', 'Brain', 'Cervix carcinoma', 'Cervix carcinoma', 'Leukemic T-cell', 'Cervix carcinoma'] | ['Membrane'] | ['EBI-300010'] | Multidrug resistance-associated protein  | chain
MRP5_HUMAN | ['Brain', 'Brain, Ovarian carcinoma', 'Retina', 'Skeletal muscle', 'Brain, Pancreas', 'Bone marrow', 'Brain', 'Cervix carcinoma', 'Cervix carcinoma'] | ['Membrane'] | ['EBI-300010'] | Multidrug resistance-associated protein  | chain
MRP6_HUMAN | ['Retinoblastoma'] | ['Basolateral cell membrane'] | ['EBI-300010'] | Multidrug resistance-associated protein  | chain
MRP7_HUMAN | ['Small intestine', 'Spleen', 'Testis', 'Cervix carcinoma'] | ['Cell membrane'] | ['EBI-300010'] | Multidrug resistance-associated protein  | chain
MRP9_HUMAN | ['Liver, Pancreas, Testis', 'Testis', 'Testis'] | ['Membrane'] | ['EBI-300010'] | Multidrug resistance-associated protein  | chain
MRP_HUMAN | ['Brain', 'Brain, Muscle', 'Cervix carcinoma', 'Embryonic kidney', 'Cervix carcinoma', 'Leukemic T-cell', 'Cervix carcinoma'] | ['Cytoplasm', 'Cell membrane'] | ['EBI-300010'] |  | initiator methionine
MRRP1_HUMAN | ['Liver', 'Signet-ring cell carcinoma', 'Prostate', 'Renal cell carcinoma'] | ['Mitochondrion matrix', 'Mitochondrion nucleoid'] | ['EBI-79964'] | Mitochondrial ribonuclease  | transit peptide
MRRP3_HUMAN | ['Brain', 'Neuroblastoma, T-cell', 'Testis, Thymus, Trachea', 'Lung, Testis'] | ['Mitochondrion'] | ['EBI-79964'] | Mitochondrial ribonuclease  | transit peptide
MRS2_HUMAN | ['Lung, Lymph'] | ['Mitochondrion inner membrane'] | ['EBI-79964'] | Magnesium transporter MRS2  | transit peptide
MRT4_HUMAN | ['Testis', 'Lung', 'Cervix carcinoma'] | ['Nucleus', 'Nucleolus'] | ['EBI-79964'] | mRNA turnover protein  | chain
MRVI1_HUMAN | ['Placenta, Thalamus, Uterus', 'Brain'] | ['Cytoplasm', 'Perinuclear region', 'Sarcoplasmic reticulum', 'Membrane'] | ['EBI-79964'] |  | chain
MS18A_HUMAN | ['Brain', 'Testis', 'Blood', 'Cervix carcinoma', 'Cervix carcinoma'] | ['Nucleus', 'Chromosome', 'Centromere'] | ['EBI-79964'] |  | chain
MS18B_HUMAN | ['Uterus', 'Cervix carcinoma', 'Cervix carcinoma', 'Leukemic T-cell', 'Cervix carcinoma'] | ['Nucleus', 'Chromosome', 'Centromere'] | ['EBI-365996'] |  | chain
MS3L1_HUMAN | ['Amygdala, Brain, Hepatoma', 'Brain', 'Uterus', 'Cervix carcinoma', 'Leukemic T-cell', 'Cervix carcinoma'] | ['Nucleus'] | ['EBI-365996'] | Male-specific lethal  | chain
MS3L2_HUMAN | ['Cervix carcinoma'] | ['Nucleus'] | ['EBI-365996'] | Putative male-specific lethal-3  | chain
MS4A3_HUMAN | ['Hematopoietic', 'Bone marrow', 'Epidermal carcinoma, Lung'] | ['Endomembrane system', 'Cytoplasm', 'Perinuclear region'] | ['EBI-365996'] | Membrane-spanning 4-domains subfamily  | chain
MS4A5_HUMAN | ['Brain'] | ['Membrane'] | ['EBI-365996'] | Membrane-spanning 4-domains subfamily  | chain
MS4A7_HUMAN | ['Peripheral blood', 'Parathyroid', 'Dendritic cell', 'Placenta, Umbilical cord blood', 'Placenta'] | ['Membrane'] | ['EBI-365996'] | Membrane-spanning 4-domains subfamily  | chain
MSD1_HUMAN | ['Testis'] | [] | ['EBI-365996'] | Myb/SANT-like DNA-binding domain-containing  | chain
MSD2_HUMAN | ['Hepatoma, Placenta', 'Lymph node', 'Pancreas', 'Cervix carcinoma', 'Leukemic T-cell'] | [] | ['EBI-365996'] | Myb/SANT-like DNA-binding domain-containing  | chain
MSD3_HUMAN | ['Subthalamic nucleus', 'Brain', 'Cervix carcinoma', 'Cervix carcinoma', 'Cervix carcinoma'] | [] | ['EBI-365996'] | Myb/SANT-like DNA-binding domain-containing  | chain
MSD4_HUMAN | ['Brain', 'Placenta, Uterus', 'Lymph node', 'Skin', 'Dendritic cell', 'Cervix carcinoma'] | [] | ['EBI-365996'] | Myb/SANT-like DNA-binding domain-containing  | chain
MSGN1_HUMAN | [] | ['Nucleus'] | ['EBI-365996'] |  | chain
MSH2_HUMAN | ['Uterus', 'Testis', 'Muscle', 'Blood', 'Embryonic kidney'] | ['Nucleus'] | ['EBI-765551', 'EBI-6738', 'EBI-944694', 'EBI-1164205', 'EBI-395529', 'EBI-2370740'] | DNA mismatch repair  | initiator methionine
MSH3_HUMAN | ['Muscle', 'Cervix carcinoma'] | [] | ['EBI-355888'] | DNA mismatch repair  | chain
MSH4_HUMAN | ['Testis', 'Cervix carcinoma'] | [] | ['EBI-711990', 'EBI-6092730'] | MutS protein homolog  | chain
MSH5_HUMAN | ['Kidney, Skin'] | [] | ['EBI-375543', 'EBI-6092777'] | MutS protein homolog  | chain
MSH6_HUMAN | ['Cerebellum, Uterus', 'Placenta', 'Cervix carcinoma', 'Cervix carcinoma', 'Embryonic kidney', 'Cervix carcinoma', 'Cervix carcinoma', 'Cervix carcinoma', 'Cervix carcinoma'] | ['Nucleus', 'Chromosome'] | ['EBI-355888'] | DNA mismatch repair  | chain
MSHR_HUMAN | ['Skin', 'Skin'] | ['Cell membrane'] | ['EBI-355888'] | Melanocyte-stimulating hormone receptor  | chain
MSI1H_HUMAN | ['Fetal brain'] | ['Cytoplasm', 'Nucleus'] | ['EBI-355888'] | RNA-binding protein Musashi  | chain
MSI2H_HUMAN | ['Trachea', 'Placenta, Skin', 'Cervix carcinoma', 'Cervix carcinoma'] | ['Cytoplasm'] | ['EBI-355888'] | RNA-binding protein Musashi  | chain
MSL1_HUMAN | ['Rectum tumor, Uterus', 'Rectum tumor', 'Cervix carcinoma', 'Cervix carcinoma'] | ['Nucleus'] | ['EBI-355888'] | Male-specific lethal  | chain
MSL2_HUMAN | ['Brain', 'Lymph node', 'Brain, Uterus'] | [] | ['EBI-355888'] | ubiquitin-protein ligase  | chain
MSLNL_HUMAN | [] | ['Membrane'] | ['EBI-355888'] |  | signal peptide
MSLN_HUMAN | ['Pancreatic cancer', 'Carcinoma', 'Lung, Spleen', 'Pancreas, Placenta', 'Pancreatic tumor', 'Cervix carcinoma'] | ['Cell membrane', 'Golgi apparatus', 'Secreted'] | ['EBI-355888'] |  | signal peptide
MSMB_HUMAN | ['Prostate', 'Prostate', 'Prostate', 'Semen'] | ['Secreted'] | ['EBI-355888'] |  | signal peptide
MSMO1_HUMAN | ['Intestine', 'Retina', 'Corpus callosum, Testis', 'Eye'] | ['Endoplasmic reticulum membrane'] | ['EBI-355888'] | Methylsterol monooxygenase  | chain
MSMP_HUMAN | ['Prostate'] | ['Secreted'] | ['EBI-355888'] |  | signal peptide
MSPD1_HUMAN | ['Brain', 'Placenta'] | ['Membrane'] | ['EBI-355888'] | Motile sperm domain-containing  | chain
MSPD2_HUMAN | ['Testis', 'Testis', 'Amygdala'] | ['Membrane'] | ['EBI-355888'] | Motile sperm domain-containing  | chain
MSPD3_HUMAN | ['B-cell, Eye, Pancreas'] | ['Membrane'] | ['EBI-355888'] | Motile sperm domain-containing  | chain
MSRA_HUMAN | ['Lung', 'Cerebellum', 'Hypothalamus', 'Uterus'] | ['Mitochondrion', 'Cytoplasm', 'Nucleus', 'Membrane'] | ['EBI-355888'] | Mitochondrial peptide methionine  | transit peptide
MSRB1_HUMAN | ['Umbilical cord blood', 'Skin'] | ['Cytoplasm', 'Nucleus', 'Cytoskeleton'] | ['EBI-355888'] | Methionine-R-sulfoxide reductase  | chain
MSRB2_HUMAN | ['Ocular ciliary body', 'Brain', 'Brain', 'Brain'] | ['Mitochondrion'] | ['EBI-355888'] | Methionine-R-sulfoxide reductase B2,  | transit peptide
MSRB3_HUMAN | ['Esophageal carcinoma, Teratocarcinoma, Uterus', 'Uterus', 'Pancreas'] | ['Endoplasmic reticulum', 'Mitochondrion'] | ['EBI-355888'] | Methionine-R-sulfoxide reductase  | signal peptide
MSRE_HUMAN | ['Testis', 'Liver'] | ['Membrane'] | ['EBI-1777078', 'EBI-1777000'] | Macrophage scavenger receptor  | chain
MSS4_HUMAN | ['Brain', 'Spleen', 'Brain, Prostate'] | [] | ['EBI-722293'] | Guanine nucleotide exchange  | chain
MSS51_HUMAN | ['Skeletal muscle', 'Fetal brain', 'Muscle'] | [] | ['EBI-722293'] | Putative protein MSS51  | chain
MST1L_HUMAN | ['Brain', 'Liver'] | ['Secreted'] | ['EBI-722293'] | Putative macrophage stimulating  | signal peptide
MST4_HUMAN | ['Fetal brain', 'Placenta'] | ['Cytoplasm', 'Golgi apparatus membrane'] | ['EBI-306905', 'EBI-1774273', 'EBI-1773588'] | Serine/threonine-protein kinase MST4  | chain
MSTN1_HUMAN | ['Skeletal muscle', 'Brain'] | ['Nucleus'] | ['EBI-306905', 'EBI-1774273', 'EBI-1773588'] | Musculoskeletal embryonic nuclear  | chain
MSTO1_HUMAN | ['Aorta', 'Testis', 'Spleen, Teratocarcinoma', 'Liver', 'Cerebellum, Endometrium, Hippocampus', 'Placenta', 'Heart', 'Cervix carcinoma'] | ['Mitochondrion outer membrane'] | ['EBI-306905', 'EBI-1774273', 'EBI-1773588'] | Protein misato homolog  | chain
MSTRO_HUMAN | ['Brain', 'Brain, Cerebellum, Hippocampus', 'Brain'] | ['Nucleus', 'Nucleolus'] | ['EBI-306905', 'EBI-1774273', 'EBI-1773588'] |  | chain
MSX1_HUMAN | ['Lymphocyte', 'Ectomesenchyme', 'Embryo', 'Neuroblastoma, Pancreatic carcinoma'] | ['Nucleus'] | ['EBI-306905', 'EBI-1774273', 'EBI-1773588'] | Homeobox protein MSX-1  | chain
MSX2_HUMAN | ['Osteoblast', 'Tooth', 'Pancreas', 'Ovary tumor', 'Bone marrow', 'Osteoblast'] | ['Nucleus'] | ['EBI-306905', 'EBI-1774273', 'EBI-1773588'] | Homeobox protein MSX-2  | chain
MT1A_HUMAN | ['Liver'] | [] | ['EBI-8550965', 'EBI-366083'] |  | chain
MT1B_HUMAN | [] | [] | ['EBI-8550965', 'EBI-366083'] |  | chain
MT1DP_HUMAN | [] | [] | ['EBI-8550965', 'EBI-366083'] | Putative metallothionein MT1DP  | chain
MT1E_HUMAN | ['Liver', 'Liver', 'Lung'] | [] | ['EBI-8550965', 'EBI-366083'] |  | chain
MT1F_HUMAN | ['Fetal liver', 'Liver', 'Brain'] | [] | ['EBI-8550965', 'EBI-366083'] |  | chain
MT1G_HUMAN | ['Liver', 'Liver'] | [] | ['EBI-1182445'] |  | chain
MT1H_HUMAN | ['Liver', 'Embryonic liver', 'Brain, Pancreas, Prostate', 'Monocyte'] | [] | ['EBI-1182445'] |  | chain
MT1L_HUMAN | ['Reticulocyte'] | [] | ['EBI-1182445'] |  | chain
MT1M_HUMAN | ['Colon'] | [] | ['EBI-1182445'] |  | chain
MT1X_HUMAN | ['Liver', 'Liver', 'Placenta', 'Colon'] | [] | ['EBI-1182445'] |  | chain
MT21A_HUMAN | ['Thymus', 'Brain, Lymph'] | ['Cytoplasm'] | ['EBI-1182445'] | Protein N-lysine methyltransferase  | chain
MT21B_HUMAN | ['Colon', 'Uterus', 'Lung'] | ['Cytoplasm'] | ['EBI-1182445'] | Protein-lysine methyltransferase METTL21B  | chain
MT21C_HUMAN | [] | ['Nucleus'] | ['EBI-1182445'] | Protein-lysine methyltransferase METTL21C  | chain
MT21D_HUMAN | ['Prostate, Retinoblastoma', 'T-cell', 'Brain, Testis'] | ['Cytoplasm'] | ['EBI-1182445'] | Protein-lysine methyltransferase METTL21D  | initiator methionine
MT21E_HUMAN | [] | [] | ['EBI-1182445'] | Putative methyltransferase-like protein  | chain
MT2_HUMAN | ['Liver', 'Brain, Kidney'] | [] | ['EBI-996609', 'EBI-8550965', 'EBI-1181072', 'EBI-1182445'] |  | chain
MT3_HUMAN | ['Brain', 'Brain', 'Brain'] | [] | ['EBI-711909'] |  | chain
MT4_HUMAN | [] | [] | ['EBI-711909'] |  | chain
MTA1_HUMAN | ['Mammary gland', 'Brain', 'Cervix carcinoma', 'Cervix carcinoma', 'Cervix carcinoma', 'Cervix carcinoma', 'Cervix carcinoma', 'Cervix carcinoma', 'Leukemic T-cell', 'Cervix carcinoma'] | ['Cytoplasm', 'Nucleus', 'Nucleus envelope', 'Cytoskeleton'] | ['EBI-78473', 'EBI-301834', 'EBI-301821', 'EBI-447269'] | Metastasis-associated protein MTA1  | chain
MTA2_HUMAN | ['Mammary gland', 'Retina', 'Brain, Uterus', 'Cervix carcinoma', 'Cervix carcinoma', 'Cervix carcinoma', 'Cervix carcinoma', 'Leukemic T-cell', 'Cervix carcinoma'] | ['Nucleus'] | ['EBI-78473', 'EBI-1164361'] | Metastasis-associated protein MTA2  | chain
MTA3_HUMAN | ['Brain', 'Embryo', 'Lymph, Uterus', 'Testis'] | ['Nucleus'] | ['EBI-78473'] | Metastasis-associated protein MTA3  | chain
MTA70_HUMAN | ['Placenta', 'Lung, Pancreas', 'Cervix carcinoma', 'Embryonic kidney', 'Cervix carcinoma', 'Leukemic T-cell', 'Cervix carcinoma'] | ['Nucleus speckle'] | ['EBI-78473'] | N6-adenosine-methyltransferase 70 kDa  | initiator methionine
MTAP2_HUMAN | ['Brain', 'Brain, Pancreas', 'Cervix carcinoma', 'Cervix carcinoma'] | ['Cytoplasm', 'Cytoskeleton'] | ['EBI-718750'] | Microtubule-associated protein  | chain
